Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
HSBC,41.16,Call,40.00,02/15/19,38,1.92,2.03,2.13,2.09,5371,1076,4.99,25.93%,01/08/19
BABA,146.79,Call,147.00,01/11/19,3,2.21,2.26,2.30,2.31,3970,805,4.93,45.11%,01/08/19
EPD,27.52,Call,28.00,02/15/19,38,0.45,0.53,0.60,0.50,3480,710,4.9,19.02%,01/08/19
T,31.28,Call,28.50,01/18/19,10,2.75,2.78,2.81,2.83,7167,1463,4.9,32.59%,01/08/19
WM,92.34,Call,92.50,02/15/19,38,1.90,2,2.10,2.00,597,122,4.89,16.30%,01/08/19
FB,142.53,Put,139.00,01/11/19,3,0.73,0.75,0.76,0.74,2603,532,4.89,40.22%,01/08/19
BIDU,163.4,Put,155.00,01/11/19,3,0.29,0.37,0.45,0.32,883,181,4.88,45.96%,01/08/19
WYNN,112.9,Call,120.00,01/11/19,3,0.19,0.22,0.25,0.23,1060,219,4.84,50.55%,01/08/19
PLUG,1.6,Put,1.50,01/11/19,3,0.05,0.06,0.07,0.07,723,150,4.82,202.26%,01/08/19
BABA,146.79,Call,152.50,01/18/19,10,1.62,1.66,1.70,1.64,6454,1338,4.82,38.45%,01/08/19
VLO,77.36,Put,55.00,06/21/19,164,1.03,1.1,1.16,1.06,542,113,4.8,44.01%,01/08/19
VZ,58.38,Call,50.00,01/18/19,10,7.75,8.18,8.60,8.37,64195,13413,4.79,0.00%,01/08/19
AMZN,1656.58,Put,1625.00,01/11/19,3,12.05,12.55,13.05,12.81,1066,223,4.78,43.31%,01/08/19
ATI,23.3,Call,25.00,04/18/19,100,1.30,1.38,1.45,1.30,582,122,4.77,39.07%,01/08/19
T,31.28,Call,15.00,01/15/21,738,15.95,16.28,16.60,16.31,605,127,4.76,0.00%,01/08/19
SKX,24.69,Call,25.00,04/18/19,100,2.70,2.78,2.85,2.75,1052,221,4.76,54.43%,01/08/19
NOK,6.15,Call,6.50,01/11/19,3,0.00,0.01,0.02,0.03,570,120,4.75,61.49%,01/08/19
AMZN,1656.58,Call,1670.00,01/11/19,3,17.20,19.08,20.95,19.00,2169,457,4.75,41.51%,01/08/19
AMZN,1656.58,Put,1610.00,01/11/19,3,8.85,9.05,9.25,9.20,914,193,4.74,44.49%,01/08/19
T,31.28,Call,26.00,01/18/19,10,5.20,5.28,5.35,5.25,2660,563,4.72,0.00%,01/08/19
AMZN,1656.58,Call,1700.00,01/11/19,3,8.50,8.78,9.05,8.90,9437,2014,4.69,40.64%,01/08/19
TCMD,59.73,Call,60.00,01/18/19,10,2.15,2.55,2.95,2.45,603,129,4.67,64.79%,01/08/19
