Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
SQ,60.72,Call,57.50,01/25/19,18,5.00,5.13,5.25,5.00,606,114,5.32,58.70%,01/07/19
BMY,48.41,Call,50.00,01/11/19,4,0.13,0.22,0.30,0.17,653,123,5.31,33.54%,01/07/19
TEAM,92.71,Call,100.00,01/18/19,11,2.50,2.7,2.90,2.75,866,163,5.31,84.57%,01/07/19
C,55.61,Put,48.50,01/18/19,11,0.15,0.17,0.19,0.17,1365,257,5.31,55.36%,01/07/19
WFC,47.64,Put,44.00,01/11/19,4,0.02,0.03,0.03,0.02,1096,207,5.29,39.72%,01/07/19
GE,8.74,Put,8.00,02/08/19,32,0.30,0.32,0.34,0.31,4759,900,5.29,62.64%,01/07/19
AMD,20.57,Put,20.00,03/15/19,67,2.24,2.28,2.31,2.30,1291,245,5.27,76.28%,01/07/19
BMY,48.41,Call,48.50,01/11/19,4,0.58,0.69,0.79,0.60,1501,285,5.27,31.45%,01/07/19
LUV,47.87,Put,46.00,01/11/19,4,0.15,0.2,0.25,0.10,610,116,5.26,33.19%,01/07/19
AAPL,147.93,Put,129.00,01/11/19,4,0.03,0.04,0.04,0.04,2090,397,5.26,59.18%,01/07/19
AMD,20.57,Put,20.50,01/11/19,4,0.78,0.8,0.82,0.80,5558,1059,5.25,97.75%,01/07/19
SIG,34.97,Put,30.00,04/18/19,101,2.55,2.65,2.75,2.70,1225,234,5.24,72.30%,01/07/19
BMY,48.41,Put,48.00,01/18/19,11,0.86,0.92,0.98,0.95,4035,770,5.24,34.84%,01/07/19
T,30.89,Call,33.00,03/15/19,67,0.35,0.36,0.37,0.37,12935,2473,5.23,19.65%,01/07/19
GE,8.74,Put,7.50,02/22/19,46,0.25,0.27,0.28,0.26,559,107,5.22,63.35%,01/07/19
CMG,485.15,Put,445.00,01/11/19,4,0.20,0.35,0.50,0.40,576,111,5.19,47.98%,01/07/19
AMZN,1629.51,Call,1737.50,01/11/19,4,2.70,2.95,3.20,3.40,956,185,5.17,45.69%,01/07/19
ENDP,9.17,Put,9.00,04/18/19,101,1.10,1.25,1.40,1.25,15259,2959,5.16,72.51%,01/07/19
TWLO,96.98,Put,80.00,01/25/19,18,0.99,1.12,1.24,1.10,1102,214,5.15,80.28%,01/07/19
BKS,7.57,Call,9.00,02/15/19,39,0.20,0.25,0.30,0.23,2586,504,5.13,67.55%,01/07/19
XOM,71.52,Put,70.50,01/11/19,4,0.38,0.4,0.42,0.37,603,118,5.11,26.43%,01/07/19
GE,8.74,Put,8.50,01/11/19,4,0.12,0.13,0.14,0.13,13869,2715,5.11,64.31%,01/07/19
LLY,115.28,Call,115.00,01/18/19,11,2.32,2.43,2.53,2.40,10796,2124,5.08,27.64%,01/07/19
ROKU,42.18,Call,37.50,01/11/19,4,4.90,5.08,5.25,5.10,851,168,5.07,114.38%,01/07/19
SEDG,35.01,Call,36.00,01/18/19,11,0.70,0.8,0.90,0.80,865,171,5.06,49.63%,01/07/19
TEVA,17.67,Call,18.50,01/11/19,4,0.10,0.11,0.12,0.11,1238,245,5.05,51.87%,01/07/19
NVDA,143.4,Call,149.00,01/11/19,4,1.68,1.73,1.78,1.79,1253,250,5.01,64.93%,01/07/19
SQ,60.72,Put,58.00,01/11/19,4,0.70,0.72,0.73,0.71,1448,290,4.99,70.58%,01/07/19
FDC,17.22,Call,20.00,02/15/19,39,0.30,0.35,0.40,0.30,821,165,4.98,49.65%,01/07/19
AMZN,1629.51,Put,1575.00,01/11/19,4,10.75,11.08,11.40,10.75,798,161,4.96,45.96%,01/07/19
BMY,48.41,Put,46.00,01/11/19,4,0.07,0.11,0.14,0.09,535,108,4.95,38.36%,01/07/19
ETN,68.73,Put,62.50,04/18/19,101,1.60,1.68,1.75,1.68,633,128,4.95,30.85%,01/07/19
CELG,87.52,Call,95.00,07/19/19,193,2.52,3.26,4.00,3.45,563,114,4.94,22.79%,01/07/19
AMD,20.57,Put,19.50,01/11/19,4,0.40,0.41,0.41,0.41,7570,1536,4.93,100.58%,01/07/19
